bar_index,entry_regime,pnl_pct,r_multiple,exit_reason
32,PULLBACK,-0.0010335629294452684,-1.0,LOSS
38,BREAKOUT,-0.0011467562889999302,-1.0,LOSS
38,BREAKOUT,-0.0011467562889999302,-1.0,LOSS
38,BREAKOUT,-0.0011467562889999302,-1.0,LOSS
38,BREAKOUT,-0.0011467562889999302,-1.0,LOSS
38,BREAKOUT,-0.0011467562889999302,-1.0,LOSS
38,BREAKOUT,-0.0011467562889999302,-1.0,LOSS
38,BREAKOUT,-0.0011467562889999302,-1.0,LOSS
38,BREAKOUT,-0.0011467562889999302,-1.0,LOSS
38,BREAKOUT,-0.0011467562889999302,-1.0,LOSS
38,BREAKOUT,-0.0011467562889999302,-1.0,LOSS
38,BREAKOUT,-0.0011467562889999302,-1.0,LOSS
38,BREAKOUT,-0.0011467562889999302,-1.0,LOSS
38,BREAKOUT,-0.0011467562889999302,-1.0,LOSS
38,BREAKOUT,-0.0011467562889999302,-1.0,LOSS
38,BREAKOUT,-0.0011467562889999302,-1.0,LOSS
38,BREAKOUT,-0.0011467562889999302,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
59,PULLBACK,-0.0010163287832144464,-1.0,LOSS
