bar_index,sequence_id,n_legs,trend,shape,efficiency_ratio,atr_at_event,volatility_regime,session,close_price,high_price,low_price,label_outcome,label_pnl_atr,label_bars_to_outcome,label_win,regime_viterbi,regime_smoothed_prob,regime_prob_BREAKOUT,regime_prob_PULLBACK,regime_prob_CHOPZONE,regime_prob_COMPRESSION,trend_numeric,shape_numeric,regime,pred_p05,pred_p25,pred_p50,pred_p75,pred_p90
32,S0_2,2,descending,converging,0.303,6.16727,low,london,2983.5,2986.63,2983.06,LOSS,-0.5,1,0,PULLBACK,0.972070538895986,0.0031697279341728,0.972070538895986,0.0195023694576282,0.005257363712213,1,0,PULLBACK,-0.5,-0.5,-0.5,-0.5,1.8722222222222227
38,S1_2,2,descending,diverging,0.4445,6.78499,high,london,2958.34,2959.22,2958.0,LOSS,-0.5,1,0,BREAKOUT,0.5344336642390058,0.5344336642390058,0.4655663311476219,4.3745469637266865e-09,2.388251370888395e-10,1,1,BREAKOUT,-0.5,-0.5,-0.1846590909090909,-0.11458333333333333,-0.0625
38,S1_2,2,descending,diverging,0.4445,6.78499,high,london,2958.34,2959.22,2958.0,LOSS,-0.5,1,0,BREAKOUT,0.5344336642390058,0.5344336642390058,0.4655663311476219,4.3745469637266865e-09,2.388251370888395e-10,1,1,BREAKOUT,-0.5,-0.5,-0.1846590909090909,-0.11458333333333333,-0.0625
38,S1_2,2,descending,diverging,0.4445,6.78499,high,london,2958.34,2959.22,2958.0,LOSS,-0.5,1,0,BREAKOUT,0.5344336642390058,0.5344336642390058,0.4655663311476219,4.3745469637266865e-09,2.388251370888395e-10,1,1,BREAKOUT,-0.5,-0.5,-0.20089285714285715,-0.125,-0.07548076923076921
38,S1_2,2,descending,diverging,0.4445,6.78499,high,london,2958.34,2959.22,2958.0,LOSS,-0.5,1,0,BREAKOUT,0.5344336642390058,0.5344336642390058,0.4655663311476219,4.3745469637266865e-09,2.388251370888395e-10,1,1,BREAKOUT,-0.5,-0.5,-0.20089285714285715,-0.125,-0.07548076923076921
38,S1_2,2,descending,diverging,0.4445,6.78499,high,london,2958.34,2959.22,2958.0,LOSS,-0.5,1,0,BREAKOUT,0.739110781356159,0.739110781356159,0.2608892165017761,2.012082641820842e-09,1.2998220150702826e-10,1,1,BREAKOUT,-0.5,-0.5,-0.1846590909090909,-0.11458333333333333,-0.0625
38,S1_2,2,descending,diverging,0.4445,6.78499,high,london,2958.34,2959.22,2958.0,LOSS,-0.5,1,0,BREAKOUT,0.739110781356159,0.739110781356159,0.2608892165017761,2.012082641820842e-09,1.2998220150702826e-10,1,1,BREAKOUT,-0.5,-0.5,-0.1846590909090909,-0.11458333333333333,-0.0625
38,S1_2,2,descending,diverging,0.4445,6.78499,high,london,2958.34,2959.22,2958.0,LOSS,-0.5,1,0,BREAKOUT,0.739110781356159,0.739110781356159,0.2608892165017761,2.012082641820842e-09,1.2998220150702826e-10,1,1,BREAKOUT,-0.5,-0.5,-0.20089285714285715,-0.125,-0.07548076923076921
38,S1_2,2,descending,diverging,0.4445,6.78499,high,london,2958.34,2959.22,2958.0,LOSS,-0.5,1,0,BREAKOUT,0.739110781356159,0.739110781356159,0.2608892165017761,2.012082641820842e-09,1.2998220150702826e-10,1,1,BREAKOUT,-0.5,-0.5,-0.20089285714285715,-0.125,-0.07548076923076921
59,S2_2,2,descending,converging,0.968,6.02187,low,london,2962.56,2964.79,2959.04,LOSS,-0.5,5,0,BREAKOUT,0.8188629634833787,0.8188629634833787,0.1811370349223378,1.4974001499108083e-09,9.68832858682877e-11,1,0,BREAKOUT,-0.5,-0.5,-0.5,-0.5,-0.5
59,S2_2,2,descending,converging,0.968,6.02187,low,london,2962.56,2964.79,2959.04,LOSS,-0.5,5,0,BREAKOUT,0.8188629634833787,0.8188629634833787,0.1811370349223378,1.4974001499108083e-09,9.68832858682877e-11,1,0,BREAKOUT,-0.5,-0.5,-0.5,-0.5,-0.5
59,S2_2,2,descending,converging,0.968,6.02187,low,london,2962.56,2964.79,2959.04,LOSS,-0.5,5,0,BREAKOUT,0.8188629634833787,0.8188629634833787,0.1811370349223378,1.4974001499108083e-09,9.68832858682877e-11,1,0,BREAKOUT,-0.5,-0.5,-0.5,-0.5,-0.5
59,S2_2,2,descending,converging,0.968,6.02187,low,london,2962.56,2964.79,2959.04,LOSS,-0.5,5,0,BREAKOUT,0.8188629634833787,0.8188629634833787,0.1811370349223378,1.4974001499108083e-09,9.68832858682877e-11,1,0,PULLBACK,-0.5,-0.5,-0.5,-0.5,-0.5
59,S2_2,2,descending,converging,0.968,6.02187,low,london,2962.56,2964.79,2959.04,LOSS,-0.5,5,0,BREAKOUT,0.8188629634833787,0.8188629634833787,0.1811370349223378,1.4974001499108083e-09,9.68832858682877e-11,1,0,PULLBACK,-0.5,-0.5,-0.5,-0.5,-0.5
59,S2_2,2,descending,converging,0.968,6.02187,low,london,2962.56,2964.79,2959.04,LOSS,-0.5,5,0,BREAKOUT,0.8188629634833787,0.8188629634833787,0.1811370349223378,1.4974001499108083e-09,9.68832858682877e-11,1,0,PULLBACK,-0.5,-0.5,-0.5,-0.5,-0.5
59,S2_2,2,descending,converging,0.968,6.02187,low,london,2962.56,2964.79,2959.04,LOSS,-0.5,5,0,BREAKOUT,0.8188629634833787,0.8188629634833787,0.1811370349223378,1.4974001499108083e-09,9.68832858682877e-11,1,0,PULLBACK,-0.5,-0.5,-0.5,-0.5,-0.5
59,S2_2,2,descending,converging,0.968,6.02187,low,london,2962.56,2964.79,2959.04,LOSS,-0.5,5,0,BREAKOUT,0.8188629634833787,0.8188629634833787,0.1811370349223378,1.4974001499108083e-09,9.68832858682877e-11,1,0,PULLBACK,-0.5,-0.5,-0.5,-0.5,-0.5
59,S2_2,2,descending,converging,0.968,6.02187,low,london,2962.56,2964.79,2959.04,LOSS,-0.5,5,0,BREAKOUT,0.8188629634833787,0.8188629634833787,0.1811370349223378,1.4974001499108083e-09,9.68832858682877e-11,1,0,PULLBACK,-0.5,-0.5,-0.5,-0.5,-0.5
59,S2_2,2,descending,converging,0.968,6.02187,low,london,2962.56,2964.79,2959.04,LOSS,-0.5,5,0,BREAKOUT,0.8488777355911918,0.8488777355911918,0.1511222630227144,1.301552146369424e-09,8.454150635996326e-11,1,0,BREAKOUT,-0.5,-0.5,-0.5,-0.5,-0.5
59,S2_2,2,descending,converging,0.968,6.02187,low,london,2962.56,2964.79,2959.04,LOSS,-0.5,5,0,BREAKOUT,0.8488777355911918,0.8488777355911918,0.1511222630227144,1.301552146369424e-09,8.454150635996326e-11,1,0,BREAKOUT,-0.5,-0.5,-0.5,-0.5,-0.5
59,S2_2,2,descending,converging,0.968,6.02187,low,london,2962.56,2964.79,2959.04,LOSS,-0.5,5,0,BREAKOUT,0.8488777355911918,0.8488777355911918,0.1511222630227144,1.301552146369424e-09,8.454150635996326e-11,1,0,BREAKOUT,-0.5,-0.5,-0.5,-0.5,-0.5
59,S2_2,2,descending,converging,0.968,6.02187,low,london,2962.56,2964.79,2959.04,LOSS,-0.5,5,0,BREAKOUT,0.8488777355911918,0.8488777355911918,0.1511222630227144,1.301552146369424e-09,8.454150635996326e-11,1,0,PULLBACK,-0.5,-0.5,-0.5,-0.5,-0.5
59,S2_2,2,descending,converging,0.968,6.02187,low,london,2962.56,2964.79,2959.04,LOSS,-0.5,5,0,BREAKOUT,0.8488777355911918,0.8488777355911918,0.1511222630227144,1.301552146369424e-09,8.454150635996326e-11,1,0,PULLBACK,-0.5,-0.5,-0.5,-0.5,-0.5
59,S2_2,2,descending,converging,0.968,6.02187,low,london,2962.56,2964.79,2959.04,LOSS,-0.5,5,0,BREAKOUT,0.8488777355911918,0.8488777355911918,0.1511222630227144,1.301552146369424e-09,8.454150635996326e-11,1,0,PULLBACK,-0.5,-0.5,-0.5,-0.5,-0.5
59,S2_2,2,descending,converging,0.968,6.02187,low,london,2962.56,2964.79,2959.04,LOSS,-0.5,5,0,BREAKOUT,0.8488777355911918,0.8488777355911918,0.1511222630227144,1.301552146369424e-09,8.454150635996326e-11,1,0,PULLBACK,-0.5,-0.5,-0.5,-0.5,-0.5
59,S2_2,2,descending,converging,0.968,6.02187,low,london,2962.56,2964.79,2959.04,LOSS,-0.5,5,0,BREAKOUT,0.8488777355911918,0.8488777355911918,0.1511222630227144,1.301552146369424e-09,8.454150635996326e-11,1,0,PULLBACK,-0.5,-0.5,-0.5,-0.5,-0.5
59,S2_2,2,descending,converging,0.968,6.02187,low,london,2962.56,2964.79,2959.04,LOSS,-0.5,5,0,BREAKOUT,0.8488777355911918,0.8488777355911918,0.1511222630227144,1.301552146369424e-09,8.454150635996326e-11,1,0,PULLBACK,-0.5,-0.5,-0.5,-0.5,-0.5
