bar_index,sequence_id,n_legs,trend,shape,efficiency_ratio,atr_at_event,volatility_regime,session,close_price,high_price,low_price,label_outcome,label_pnl_atr,label_bars_to_outcome,label_win
32,S0_2,2,descending,converging,0.303,6.16727,low,london,2983.5,2986.63,2983.06,LOSS,-0.5,1,0
38,S1_2,2,descending,diverging,0.4445,6.78499,high,london,2958.34,2959.22,2958.0,LOSS,-0.5,1,0
38,S1_2,2,descending,diverging,0.4445,6.78499,high,london,2958.34,2959.22,2958.0,LOSS,-0.5,1,0
59,S2_2,2,descending,converging,0.968,6.02187,low,london,2962.56,2964.79,2959.04,LOSS,-0.5,5,0
59,S2_2,2,descending,converging,0.968,6.02187,low,london,2962.56,2964.79,2959.04,LOSS,-0.5,5,0
59,S2_2,2,descending,converging,0.968,6.02187,low,london,2962.56,2964.79,2959.04,LOSS,-0.5,5,0
63,S3_2,2,descending,diverging,2.6118,5.97709,low,london,2946.21,2947.1,2944.86,LOSS,-0.5,1,0
63,S3_2,2,descending,diverging,2.6118,5.97709,low,london,2946.21,2947.1,2944.86,LOSS,-0.5,1,0
63,S3_2,2,descending,diverging,2.6118,5.97709,low,london,2946.21,2947.1,2944.86,LOSS,-0.5,1,0
63,S3_2,2,descending,diverging,2.6118,5.97709,low,london,2946.21,2947.1,2944.86,LOSS,-0.5,1,0
73,S4_2,2,ascending,diverging,0.7117,6.40753,low,other,2986.22,2989.08,2985.33,LOSS,-0.5,5,0
73,S4_2,2,ascending,diverging,0.7117,6.40753,low,other,2986.22,2989.08,2985.33,LOSS,-0.5,5,0
73,S4_2,2,ascending,diverging,0.7117,6.40753,low,other,2986.22,2989.08,2985.33,LOSS,-0.5,5,0
73,S4_2,2,ascending,diverging,0.7117,6.40753,low,other,2986.22,2989.08,2985.33,LOSS,-0.5,5,0
73,S4_2,2,ascending,diverging,0.7117,6.40753,low,other,2986.22,2989.08,2985.33,LOSS,-0.5,1,0
79,S5_2,2,ascending,converging,0.2507,6.64234,high,other,2964.77,2968.54,2963.47,LOSS,-0.5,15,0
79,S5_2,2,ascending,converging,0.2507,6.64234,high,other,2964.77,2968.54,2963.47,LOSS,-0.5,1,0
79,S5_2,2,ascending,converging,0.2507,6.64234,high,other,2964.77,2968.54,2963.47,LOSS,-0.5,15,0
79,S5_2,2,ascending,converging,0.2507,6.64234,high,other,2964.77,2968.54,2963.47,LOSS,-0.5,1,0
79,S5_2,2,ascending,converging,0.2507,6.64234,high,other,2964.77,2968.54,2963.47,LOSS,-0.5,1,0
79,S5_2,2,ascending,converging,0.2507,6.64234,high,other,2964.77,2968.54,2963.47,LOSS,-0.5,1,0
82,S6_2,2,descending,converging,0.4555,6.75174,high,london,2975.25,2978.42,2973.48,LOSS,-0.5,6,0
82,S6_2,2,descending,converging,0.4555,6.75174,high,london,2975.25,2978.42,2973.48,LOSS,-0.5,1,0
82,S6_2,2,descending,converging,0.4555,6.75174,high,london,2975.25,2978.42,2973.48,LOSS,-0.5,1,0
82,S6_2,2,descending,converging,0.4555,6.75174,high,london,2975.25,2978.42,2973.48,LOSS,-0.5,1,0
82,S6_2,2,descending,converging,0.4555,6.75174,high,london,2975.25,2978.42,2973.48,LOSS,-0.5,6,0
82,S6_2,2,descending,converging,0.4555,6.75174,high,london,2975.25,2978.42,2973.48,LOSS,-0.5,1,0
104,S7_2,2,descending,diverging,0.8871,5.78199,low,london,2950.75,2953.55,2949.19,LOSS,-0.5,1,0
104,S7_2,2,descending,diverging,0.8871,5.78199,low,london,2950.75,2953.55,2949.19,LOSS,-0.5,1,0
104,S7_2,2,descending,diverging,0.8871,5.78199,low,london,2950.75,2953.55,2949.19,WIN,3.0,8,1
104,S7_2,2,descending,diverging,0.8871,5.78199,low,london,2950.75,2953.55,2949.19,LOSS,-0.5,1,0
104,S7_2,2,descending,diverging,0.8871,5.78199,low,london,2950.75,2953.55,2949.19,LOSS,-0.5,1,0
104,S7_2,2,descending,diverging,0.8871,5.78199,low,london,2950.75,2953.55,2949.19,LOSS,-0.5,1,0
125,S8_2,2,ascending,diverging,0.3306,7.37404,high,other,2996.76,2997.91,2995.6,LOSS,-0.5,1,0
125,S8_2,2,ascending,diverging,0.3306,7.37404,high,other,2996.76,2997.91,2995.6,LOSS,-0.5,1,0
125,S8_2,2,ascending,diverging,0.3306,7.37404,high,other,2996.76,2997.91,2995.6,LOSS,-0.5,1,0
125,S8_2,2,ascending,diverging,0.3306,7.37404,high,other,2996.76,2997.91,2995.6,LOSS,-0.5,1,0
125,S8_2,2,ascending,diverging,0.3306,7.37404,high,other,2996.76,2997.91,2995.6,LOSS,-0.5,1,0
125,S8_2,2,ascending,diverging,0.3306,7.37404,high,other,2996.76,2997.91,2995.6,LOSS,-0.5,1,0
147,S9_2,2,ascending,converging,0.2116,7.42722,high,other,2965.59,2965.67,2964.68,WIN,3.0,16,1
147,S9_2,2,ascending,converging,0.2116,7.42722,high,other,2965.59,2965.67,2964.68,LOSS,-0.5,2,0
147,S9_2,2,ascending,converging,0.2116,7.42722,high,other,2965.59,2965.67,2964.68,WIN,3.0,16,1
147,S9_2,2,ascending,converging,0.2116,7.42722,high,other,2965.59,2965.67,2964.68,LOSS,-0.5,2,0
147,S9_2,2,ascending,converging,0.2116,7.42722,high,other,2965.59,2965.67,2964.68,WIN,3.0,16,1
147,S9_2,2,ascending,converging,0.2116,7.42722,high,other,2965.59,2965.67,2964.68,LOSS,-0.5,2,0
167,S10_2,2,ascending,diverging,0.3292,7.35579,high,other,3010.99,3014.47,3009.23,LOSS,-0.5,1,0
167,S10_2,2,ascending,diverging,0.3292,7.35579,high,other,3010.99,3014.47,3009.23,LOSS,-0.5,1,0
167,S10_2,2,ascending,diverging,0.3292,7.35579,high,other,3010.99,3014.47,3009.23,LOSS,-0.5,1,0
167,S10_2,2,ascending,diverging,0.3292,7.35579,high,other,3010.99,3014.47,3009.23,LOSS,-0.5,1,0
167,S10_2,2,ascending,diverging,0.3292,7.35579,high,other,3010.99,3014.47,3009.23,LOSS,-0.5,1,0
167,S10_2,2,ascending,diverging,0.3292,7.35579,high,other,3010.99,3014.47,3009.23,LOSS,-0.5,1,0
172,S11_2,2,ascending,converging,0.4078,6.47456,high,other,2995.79,2996.72,2992.66,WIN,3.0,4,1
172,S11_2,2,ascending,converging,0.4078,6.47456,high,other,2995.79,2996.72,2992.66,LOSS,-0.5,2,0
172,S11_2,2,ascending,converging,0.4078,6.47456,high,other,2995.79,2996.72,2992.66,WIN,3.0,4,1
172,S11_2,2,ascending,converging,0.4078,6.47456,high,other,2995.79,2996.72,2992.66,WIN,3.0,4,1
