bar_index,sequence_id,n_legs,trend,shape,efficiency_ratio,atr_at_event,volatility_regime,session,close_price,high_price,low_price,label_outcome,label_pnl_atr,label_bars_to_outcome,label_win,regime_viterbi,regime_smoothed_prob,regime_prob_BREAKOUT,regime_prob_PULLBACK,regime_prob_CHOPZONE,regime_prob_COMPRESSION
32,S0_2,2,descending,converging,0.303,6.16727,low,london,2983.5,2986.63,2983.06,LOSS,-0.5,1,0,PULLBACK,0.9720705388959859,0.0031697279341728725,0.9720705388959859,0.019502369457628295,0.005257363712213013
38,S1_2,2,descending,diverging,0.4445,6.78499,high,london,2958.34,2959.22,2958.0,LOSS,-0.5,1,0,BREAKOUT,0.5344336642390058,0.5344336642390058,0.4655663311476219,4.3745469637266865e-09,2.388251370888395e-10
38,S1_2,2,descending,diverging,0.4445,6.78499,high,london,2958.34,2959.22,2958.0,LOSS,-0.5,1,0,BREAKOUT,0.739110781356159,0.739110781356159,0.2608892165017761,2.0120826418208426e-09,1.2998220150702826e-10
59,S2_2,2,descending,converging,0.968,6.02187,low,london,2962.56,2964.79,2959.04,LOSS,-0.5,5,0,BREAKOUT,0.8188629634833787,0.8188629634833787,0.1811370349223378,1.4974001499108085e-09,9.68832858682877e-11
59,S2_2,2,descending,converging,0.968,6.02187,low,london,2962.56,2964.79,2959.04,LOSS,-0.5,5,0,BREAKOUT,0.8488777355911918,0.8488777355911918,0.1511222630227144,1.301552146369424e-09,8.454150635996326e-11
59,S2_2,2,descending,converging,0.968,6.02187,low,london,2962.56,2964.79,2959.04,LOSS,-0.5,5,0,BREAKOUT,0.857451958706681,0.857451958706681,0.1425480399720974,1.239900037001839e-09,8.132147085912565e-11
63,S3_2,2,descending,diverging,2.6118,5.97709,low,london,2946.21,2947.1,2944.86,LOSS,-0.5,1,0,BREAKOUT,0.8526691058291644,0.8526691058291644,0.14733089283232775,1.2543204029616693e-09,8.418744427032975e-11
63,S3_2,2,descending,diverging,2.6118,5.97709,low,london,2946.21,2947.1,2944.86,LOSS,-0.5,1,0,BREAKOUT,0.8300200731512923,0.8300200731512923,0.16997992539445805,1.358408253068653e-09,9.584136452710039e-11
63,S3_2,2,descending,diverging,2.6118,5.97709,low,london,2946.21,2947.1,2944.86,LOSS,-0.5,1,0,BREAKOUT,0.7681521571515616,0.7681521571515616,0.2318478410708722,1.650295956886169e-09,1.2727016486527045e-10
63,S3_2,2,descending,diverging,2.6118,5.97709,low,london,2946.21,2947.1,2944.86,LOSS,-0.5,1,0,BREAKOUT,0.6087384738933647,0.6087384738933647,0.39126148257404,4.2722818210620956e-08,8.097771899946227e-10
73,S4_2,2,ascending,diverging,0.7117,6.40753,low,other,2986.22,2989.08,2985.33,LOSS,-0.5,5,0,CHOPZONE,0.7986358964702681,5.750402175910936e-08,0.19724953453511068,0.7986358964702681,0.004114511490599505
73,S4_2,2,ascending,diverging,0.7117,6.40753,low,other,2986.22,2989.08,2985.33,LOSS,-0.5,5,0,CHOPZONE,0.940970418516902,3.262900481646486e-09,0.05720015851859839,0.940970418516902,0.001829419701599236
73,S4_2,2,ascending,diverging,0.7117,6.40753,low,other,2986.22,2989.08,2985.33,LOSS,-0.5,5,0,CHOPZONE,0.9729899299901377,1.8203192309294566e-09,0.025573778750117727,0.9729899299901377,0.0014362894394254137
