sequence_id,n_legs,trend,shape,efficiency_ratio,start_idx,end_idx
S0_2,2,descending,converging,0.303,7,32
S1_2,2,descending,diverging,0.4445,30,38
S2_2,2,descending,converging,0.968,32,59
S3_2,2,descending,diverging,2.6118,38,63
S4_2,2,ascending,diverging,0.7117,59,73
S5_2,2,ascending,converging,0.2507,63,79
S6_2,2,descending,converging,0.4555,73,82
S7_2,2,descending,diverging,0.8871,79,104
S8_2,2,ascending,diverging,0.3306,82,125
S9_2,2,ascending,converging,0.2116,104,147
S10_2,2,ascending,diverging,0.3292,125,167
S11_2,2,ascending,converging,0.4078,147,172
S12_2,2,ascending,diverging,0.6775,167,180
S13_2,2,ascending,converging,0.2088,172,199
S14_2,2,descending,converging,0.1352,180,203
S15_2,2,ascending,diverging,1.6429,199,219
S16_2,2,ascending,converging,1.3999,203,220
S17_2,2,descending,diverging,0.1624,219,228
S18_2,2,descending,converging,0.3046,220,235
S19_2,2,descending,diverging,0.0282,228,247
S20_2,2,ascending,diverging,0.4521,235,253
S21_2,2,descending,diverging,0.1841,247,268
S22_2,2,descending,converging,0.3233,253,284
S23_2,2,ascending,converging,0.4125,268,292
S24_2,2,ascending,diverging,1.3684,284,323
S25_2,2,ascending,converging,0.3616,292,333
S26_2,2,ascending,diverging,0.8201,323,335
S27_2,2,descending,diverging,1.3742,333,348
S28_2,2,descending,converging,0.2556,335,353
S29_2,2,ascending,converging,0.2311,348,359
S30_2,2,ascending,diverging,1.6905,353,378
S31_2,2,ascending,converging,0.212,359,384
S32_2,2,descending,converging,0.0731,378,399
S33_2,2,ascending,converging,0.1823,384,412
S34_2,2,ascending,diverging,0.8362,399,428
S35_2,2,ascending,converging,0.2621,412,431
S36_2,2,descending,converging,0.1754,428,436
S37_2,2,descending,diverging,0.7944,431,459
S38_2,2,descending,converging,0.3089,436,467
S39_2,2,descending,diverging,0.3714,459,472
S40_2,2,ascending,diverging,0.2954,467,480
S41_2,2,ascending,converging,0.1674,472,487
S0_3,3,descending,converging,0.3799,7,38
S1_3,3,descending,converging,0.1193,30,59
S2_3,3,descending,converging,1.1402,32,63
S3_3,3,ascending,diverging,2.4257,38,73
S4_3,3,descending,diverging,0.0281,59,79
