bar_index,price,direction,timeframe,lookback,strength,atr_at_swing,timestamp
7,3031.54,high,fast,3,3,4.34164,2025-03-01T07:00:00
19,2983.62,low,fast,3,3,5.97814,2025-03-01T19:00:00
32,2986.63,high,fast,3,3,6.16727,2025-03-02T08:00:00
38,2958.0,low,fast,3,3,6.78499,2025-03-02T14:00:00
41,2967.2,high,fast,3,3,6.35971,2025-03-02T17:00:00
52,2941.88,low,fast,3,3,6.03246,2025-03-03T04:00:00
55,2961.14,high,fast,3,3,6.02096,2025-03-03T07:00:00
57,2949.03,low,fast,3,3,6.11098,2025-03-03T09:00:00
59,2964.79,high,fast,3,3,6.02187,2025-03-03T11:00:00
63,2944.86,low,fast,3,3,5.97709,2025-03-03T15:00:00
73,2989.08,high,fast,3,3,6.40753,2025-03-04T01:00:00
74,2968.52,low,fast,3,3,7.21414,2025-03-04T02:00:00
82,2978.42,high,fast,3,3,6.75174,2025-03-04T10:00:00
85,2964.53,low,fast,3,3,6.27088,2025-03-04T13:00:00
91,2982.45,high,fast,3,3,6.00632,2025-03-04T19:00:00
95,2959.62,low,fast,3,3,6.2931,2025-03-04T23:00:00
98,2970.96,high,fast,3,3,5.77143,2025-03-05T02:00:00
104,2949.19,low,fast,3,3,5.78199,2025-03-05T08:00:00
108,2969.44,high,fast,3,3,5.67476,2025-03-05T12:00:00
111,2955.06,low,fast,3,3,5.70247,2025-03-05T15:00:00
125,2997.91,high,fast,3,3,7.37404,2025-03-06T05:00:00
134,2969.62,low,fast,3,3,6.75762,2025-03-06T14:00:00
135,2982.76,high,fast,3,3,7.19351,2025-03-06T15:00:00
139,2968.36,low,fast,3,3,6.88749,2025-03-06T19:00:00
141,2984.21,high,fast,3,3,6.99707,2025-03-06T21:00:00
143,2967.66,low,fast,3,3,7.36324,2025-03-06T23:00:00
145,2981.12,high,fast,3,3,7.11376,2025-03-07T01:00:00
147,2964.68,low,fast,3,3,7.42722,2025-03-07T03:00:00
151,2978.34,high,fast,3,3,6.5835,2025-03-07T07:00:00
152,2969.91,low,fast,3,3,6.49039,2025-03-07T08:00:00
157,2986.27,high,fast,3,3,6.29724,2025-03-07T13:00:00
160,2975.81,low,fast,3,3,6.38145,2025-03-07T16:00:00
167,3014.47,high,fast,3,3,7.35579,2025-03-07T23:00:00
172,2992.66,low,fast,3,3,6.47456,2025-03-08T04:00:00
180,3037.45,high,fast,3,3,6.68433,2025-03-08T12:00:00
182,3021.79,low,fast,3,3,6.7895,2025-03-08T14:00:00
187,3037.25,high,fast,3,3,5.91876,2025-03-08T19:00:00
190,3016.66,low,fast,3,3,5.96499,2025-03-08T22:00:00
192,3024.6,high,fast,3,3,5.69293,2025-03-09T00:00:00
199,3009.08,low,fast,3,3,5.63555,2025-03-09T07:00:00
203,3031.46,high,fast,3,3,5.94079,2025-03-09T11:00:00
205,3014.61,low,fast,3,3,6.29027,2025-03-09T13:00:00
213,3076.66,high,fast,3,3,7.55263,2025-03-09T21:00:00
219,3062.34,low,fast,3,3,6.38255,2025-03-10T03:00:00
220,3088.08,high,fast,3,3,7.30951,2025-03-10T04:00:00
224,3064.2,low,fast,3,3,7.45313,2025-03-10T08:00:00
235,3079.08,high,fast,3,3,6.81201,2025-03-10T19:00:00
240,3062.86,low,fast,3,3,6.81452,2025-03-11T00:00:00
243,3074.81,high,fast,3,3,6.51433,2025-03-11T03:00:00
247,3057.4,low,fast,3,3,6.10496,2025-03-11T07:00:00
253,3092.48,high,fast,3,3,7.31518,2025-03-11T13:00:00
255,3078.39,low,fast,3,3,7.33956,2025-03-11T15:00:00
259,3093.26,high,fast,3,3,7.21579,2025-03-11T19:00:00
268,3048.47,low,fast,3,3,8.27025,2025-03-12T04:00:00
270,3064.06,high,fast,3,3,8.3769,2025-03-12T06:00:00
280,3053.44,low,fast,3,3,6.54036,2025-03-12T16:00:00
284,3076.74,high,fast,3,3,7.38714,2025-03-12T20:00:00
292,3058.95,low,fast,3,3,6.32583,2025-03-13T04:00:00
299,3081.97,high,fast,3,3,6.0314,2025-03-13T11:00:00
301,3071.8,low,fast,3,3,5.97228,2025-03-13T13:00:00
323,3139.3,high,fast,3,3,5.97645,2025-03-14T11:00:00
333,3131.15,low,fast,3,3,5.78763,2025-03-14T21:00:00
335,3143.39,high,fast,3,3,5.73684,2025-03-14T23:00:00
348,3105.68,low,fast,3,3,5.75416,2025-03-15T12:00:00
353,3126.35,high,fast,3,3,5.71243,2025-03-15T17:00:00
359,3110.92,low,fast,3,3,5.82913,2025-03-15T23:00:00
367,3135.95,high,fast,3,3,5.49209,2025-03-16T07:00:00
370,3126.63,low,fast,3,3,5.21248,2025-03-16T10:00:00
378,3183.51,high,fast,3,3,7.16842,2025-03-16T18:00:00
