bar_index,price,direction,timeframe,lookback,strength,atr_at_swing,timestamp
7,3031.54,high,slow,7,7,4.34164,2025-03-01T07:00:00
52,2941.88,low,slow,7,7,6.03246,2025-03-03T04:00:00
59,2964.79,high,slow,7,7,6.02187,2025-03-03T11:00:00
63,2944.86,low,slow,7,7,5.97709,2025-03-03T15:00:00
73,2989.08,high,slow,7,7,6.40753,2025-03-04T01:00:00
79,2963.47,low,slow,7,7,6.64234,2025-03-04T07:00:00
91,2982.45,high,slow,7,7,6.00632,2025-03-04T19:00:00
104,2949.19,low,slow,7,7,5.78199,2025-03-05T08:00:00
125,2997.91,high,slow,7,7,7.37404,2025-03-06T05:00:00
147,2964.68,low,slow,7,7,7.42722,2025-03-07T03:00:00
167,3014.47,high,slow,7,7,7.35579,2025-03-07T23:00:00
199,3009.08,low,slow,7,7,5.63555,2025-03-09T07:00:00
220,3088.08,high,slow,7,7,7.30951,2025-03-10T04:00:00
228,3057.98,low,slow,7,7,7.33524,2025-03-10T12:00:00
235,3079.08,high,slow,7,7,6.81201,2025-03-10T19:00:00
247,3057.4,low,slow,7,7,6.10496,2025-03-11T07:00:00
259,3093.26,high,slow,7,7,7.21579,2025-03-11T19:00:00
268,3048.47,low,slow,7,7,8.27025,2025-03-12T04:00:00
284,3076.74,high,slow,7,7,7.38714,2025-03-12T20:00:00
292,3058.95,low,slow,7,7,6.32583,2025-03-13T04:00:00
335,3143.39,high,slow,7,7,5.73684,2025-03-14T23:00:00
348,3105.68,low,slow,7,7,5.75416,2025-03-15T12:00:00
353,3126.35,high,slow,7,7,5.71243,2025-03-15T17:00:00
359,3110.92,low,slow,7,7,5.82913,2025-03-15T23:00:00
378,3183.51,high,slow,7,7,7.16842,2025-03-16T18:00:00
384,3144.38,low,slow,7,7,7.16919,2025-03-17T00:00:00
399,3179.47,high,slow,7,7,7.52553,2025-03-17T15:00:00
412,3151.78,low,slow,7,7,6.84601,2025-03-18T04:00:00
428,3231.1,high,slow,7,7,7.06948,2025-03-18T20:00:00
431,3197.08,low,slow,7,7,8.1341,2025-03-18T23:00:00
436,3225.41,high,slow,7,7,7.92363,2025-03-19T04:00:00
459,3157.37,low,slow,7,7,6.53929,2025-03-20T03:00:00
467,3179.37,high,slow,7,7,5.61379,2025-03-20T11:00:00
472,3143.95,low,slow,7,7,6.68067,2025-03-20T16:00:00
480,3198.98,high,slow,7,7,7.62166,2025-03-21T00:00:00
487,3158.85,low,slow,7,7,7.86009,2025-03-21T07:00:00
