bar_index,event_id,fast_sequence_id,fast_n_legs,fast_trend,fast_shape,fast_efficiency,slow_sequence_id,slow_n_legs,slow_trend,slow_shape,slow_efficiency,slow_age_bars,trend_aligned,shape_aligned,potentiality_score
32,EV_32,S_fast_0_2,2,descending,converging,0.6588,,0,,,0.0,25,0,0,0.2
38,EV_38,S_fast_0_3,3,descending,converging,0.721,,0,,,0.0,31,0,0,0.2
41,EV_41,S_fast_0_4,4,descending,converging,0.5664,,0,,,0.0,34,0,0,0.0
52,EV_52,S_fast_0_5,5,descending,converging,0.609,,0,,,0.0,45,0,0,0.2
55,EV_55,S_fast_0_6,6,descending,converging,0.4072,,0,,,0.0,3,0,0,0.2
57,EV_57,S_fast_0_7,7,descending,converging,0.4371,,0,,,0.0,5,0,0,0.2
59,EV_59,S_fast_1_7,7,descending,diverging,2.1258,,0,,,0.0,7,0,0,0.4
63,EV_63,S_fast_2_7,7,descending,converging,0.4715,S_slow_0_2,2,descending,converging,0.2406,4,1,1,0.8
73,EV_73,S_fast_3_7,7,ascending,diverging,0.9074,S_slow_0_3,3,descending,converging,0.2651,10,0,0,0.3
74,EV_74,S_fast_4_7,7,ascending,converging,0.0125,S_slow_0_4,4,descending,converging,0.0988,1,0,1,0.4
82,EV_82,S_fast_5_7,7,ascending,converging,0.5111,S_slow_0_5,5,descending,converging,0.1398,3,0,1,0.4
85,EV_85,S_fast_6_7,7,ascending,diverging,0.0801,S_slow_0_5,5,descending,converging,0.1398,6,0,0,0.2
91,EV_91,S_fast_7_7,7,ascending,diverging,0.5709,S_slow_0_5,5,descending,converging,0.1398,12,0,0,0.1
95,EV_95,S_fast_8_7,7,descending,diverging,0.0663,S_slow_0_6,6,descending,converging,0.092,4,1,0,0.6
98,EV_98,S_fast_9_7,7,ascending,converging,0.1718,S_slow_0_6,6,descending,converging,0.092,7,0,1,0.4
104,EV_104,S_fast_10_7,7,descending,diverging,0.7416,S_slow_0_6,6,descending,converging,0.092,13,1,0,0.7
108,EV_108,S_fast_11_7,7,ascending,diverging,0.032,S_slow_0_7,7,descending,converging,0.133,4,0,0,0.2
111,EV_111,S_fast_12_7,7,descending,diverging,0.5108,S_slow_0_7,7,descending,converging,0.133,7,1,0,0.6
125,EV_125,S_fast_13_7,7,ascending,diverging,0.4615,S_slow_0_7,7,descending,converging,0.133,21,0,0,0.0
134,EV_134,S_fast_14_7,7,descending,diverging,0.139,S_slow_1_7,7,ascending,diverging,0.4407,9,0,1,0.4
135,EV_135,S_fast_15_7,7,ascending,converging,0.4981,S_slow_1_7,7,ascending,diverging,0.4407,10,1,0,0.5
139,EV_139,S_fast_16_7,7,descending,converging,0.0291,S_slow_1_7,7,ascending,diverging,0.4407,14,0,0,0.1
141,EV_141,S_fast_17_7,7,ascending,converging,0.4407,S_slow_1_7,7,ascending,diverging,0.4407,16,1,0,0.5
143,EV_143,S_fast_18_7,7,descending,converging,0.0337,S_slow_1_7,7,ascending,diverging,0.4407,18,0,0,0.1
145,EV_145,S_fast_19_7,7,ascending,converging,0.2207,S_slow_1_7,7,ascending,diverging,0.4407,20,1,0,0.4
147,EV_147,S_fast_20_7,7,descending,converging,0.4747,S_slow_1_7,7,ascending,diverging,0.4407,22,0,0,0.0
151,EV_151,S_fast_21_7,7,ascending,diverging,0.3267,S_slow_2_7,7,descending,diverging,0.001,4,0,1,0.4
152,EV_152,S_fast_22_7,7,descending,converging,0.4364,S_slow_2_7,7,descending,diverging,0.001,5,1,0,0.6
157,EV_157,S_fast_23_7,7,ascending,diverging,0.5419,S_slow_2_7,7,descending,diverging,0.001,10,0,1,0.3
160,EV_160,S_fast_24_7,7,descending,converging,0.2676,S_slow_2_7,7,descending,diverging,0.001,13,1,0,0.5
167,EV_167,S_fast_25_7,7,ascending,diverging,1.4577,S_slow_2_7,7,descending,diverging,0.001,20,0,1,0.4
172,EV_172,S_fast_26_7,7,ascending,diverging,0.2826,S_slow_3_7,7,ascending,converging,0.2688,5,1,0,0.6
180,EV_180,S_fast_27_7,7,ascending,diverging,1.5291,S_slow_3_7,7,ascending,converging,0.2688,13,1,0,0.7
182,EV_182,S_fast_28_7,7,ascending,diverging,1.444,S_slow_3_7,7,ascending,converging,0.2688,15,1,0,0.7
